Species,Last Assessed,Status,Residential & commercial development,Agriculture & aquaculture,Energy production & mining,Transportation & Service Corridors,Biological resource use,Human intrusions & disturbance,Natural system modifications,"Invasive and other problematic species, genes & diseases",Pollution,Geological events,Climate change & severe weather,Risk of Extinction
Vanvoorstia bennettiana,30/04/2003,EX,1,0,0,1,1,0,0,0,1,0,0,0.4772727272727273
Oeceoclades seychellarum,21/09/2007,EX,0,1,0,0,0,0,0,0,0,0,0,0.375
Nesiota elliptica,13/06/2005,EX,0,1,0,0,1,0,0,1,0,0,0,1.1477272727272727
Cyanea dolichopoda,20/06/2016,EX,0,0,0,0,0,0,0,0,0,1,1,0.125
Acalypha wilderi,29/03/2011,EX,1,1,0,1,0,0,0,1,0,0,0,1.1136363636363635
Dryopteris ascensionis,30/05/2010,EX,0,0,0,0,0,0,0,1,0,1,0,0.5681818181818181
Oldenlandia adscensionis,31/05/2010,EX,0,1,0,0,0,0,0,1,0,0,0,0.8977272727272727
Flabellidium spinosum,19/10/2010,EX,0,1,0,0,1,0,0,0,0,0,0,0.625
Sporobolus durus,30/05/2010,EX,0,1,0,0,0,0,0,1,0,1,0,0.9431818181818181
Acalypha dikuluwensis,15/01/2009,EX,0,0,1,0,0,0,0,0,0,0,0,0.06818181818181818
Basananthe cupricola,15/01/2009,EX,0,0,1,0,0,0,0,0,0,0,0,0.06818181818181818
Viola cryana,7/7/2010,EX,0,0,1,0,1,0,0,0,0,0,0,0.3181818181818182
Begonia eiromischa,1/3/2007,EX,0,1,0,0,1,0,0,0,0,0,0,0.625
Pradosia glaziovii,1/1/1998,EX,1,1,0,0,1,0,0,0,0,0,0,0.8181818181818181
Achyranthes atollensis,30/04/2003,EX,1,0,0,0,0,0,0,1,0,0,0,0.7159090909090908
Cyanea copelandii,30/04/2003,EX,1,1,0,0,0,0,0,1,0,0,0,1.0909090909090908
Vernonia sechellensis,1/2/2007,EX,0,0,0,0,1,0,0,0,0,0,0,0.25
Santalum fernandezianum,1/1/1998,EX,0,0,0,0,1,0,0,0,0,0,0,0.25
Cnidoscolus fragrans,1/1/1998,EX,1,0,0,0,0,0,0,0,0,0,0,0.19318181818181818
Ormosia howii,1/1/1998,EX,0,1,0,0,1,0,0,0,0,0,0,0.625
Sterculia khasiana,1/1/1998,EX,1,1,0,0,0,0,1,0,0,0,0,0.7613636363636362
Cyanea superba,1/1/1998,EX,0,0,0,0,0,0,0,1,0,0,0,0.5227272727272727
Myrcia skeldingii,1/1/1998,EX,1,1,0,0,1,0,0,0,0,0,0,0.8181818181818181
Chrysophyllum januariense,1/1/1998,EX,1,0,0,0,0,0,0,0,0,0,0,0.19318181818181818
Cyanea sessilifolia,19/01/2016,EX,0,0,0,0,0,0,1,1,0,0,1,0.7954545454545454
Lepidium amissum,31/08/2013,EX,1,0,0,0,0,0,0,0,0,0,0,0.19318181818181818
Lepidium obtusatum,31/08/2013,EX,0,0,1,0,1,0,0,1,0,0,0,0.8409090909090908
Logania depressa,31/08/2013,EX,0,0,0,0,0,0,1,1,0,0,0,0.7159090909090908
Stellaria elatinoides,31/08/2013,EX,0,0,0,0,0,0,1,1,0,0,0,0.7159090909090908
Trilepidea adamsii,31/08/2013,EX,1,1,0,0,1,0,0,1,0,0,0,1.3409090909090908
Acalypha rubrinervis,7/6/2015,EX,0,1,0,0,1,0,0,1,0,0,0,1.1477272727272727
Trochetiopsis melanoxylon,17/06/2015,EX,0,0,0,0,1,0,0,1,0,0,0,0.7727272727272727
Heliotropium pannifolium,13/06/2015,EX,0,0,0,0,0,0,0,1,0,0,0,0.5227272727272727
Ochrosia kilaueaensis,15/06/2020,EX,0,1,0,0,0,0,1,1,0,0,0,1.0909090909090908
Cyanea eleeleensis,20/06/2016,EX,0,0,0,0,0,0,0,1,0,0,0,0.5227272727272727
Amaranthus brownii,5/5/2016,EX,0,0,0,0,0,0,1,1,0,1,0,0.7613636363636362
Cenchrus agrimonioides var. laysanensis,11/5/2017,EX,0,0,0,0,0,0,0,1,0,0,1,0.6022727272727273
Delissea niihauensis,3/5/2016,EX,0,0,0,0,0,0,0,1,0,0,1,0.6022727272727273
Delissea subcordata,13/08/2015,EX,0,0,0,0,0,0,1,1,0,0,0,0.7159090909090908
Delissea subcordata subsp. subcordata,13/08/2015,EX,0,0,0,0,0,0,1,1,0,0,0,0.7159090909090908
Delissea subcordata subsp. obtusifolia,13/08/2015,EX,0,0,0,0,0,0,1,1,0,0,0,0.7159090909090908
Hibiscus brackenridgei subsp. molokaiana,3/2/2017,EX,0,0,0,0,0,0,1,1,0,0,0,0.7159090909090908
Blutaparon rigidum,31/12/2005,EX,0,0,0,0,0,0,0,1,0,0,0,0.5227272727272727
Nobregaea latinervis,17/12/2016,EX,1,1,0,0,0,0,0,0,0,0,0,0.5681818181818181
Fissidens microstictus,16/12/2016,EX,1,0,0,0,0,0,0,0,0,0,0,0.19318181818181818
Cyanea linearifolia,22/06/2016,EX,0,0,0,0,0,0,0,1,0,0,0,0.5227272727272727
Cyanea minutiflora,22/06/2016,EX,0,0,0,0,0,0,0,1,0,0,0,0.5227272727272727
Cyanea parvifolia,22/06/2016,EX,0,0,0,0,0,0,0,1,0,0,0,0.5227272727272727
Cyperus rockii,12/7/2016,EX,0,0,0,0,0,0,0,1,0,0,0,0.5227272727272727
Cyrtandra olona,1/7/2016,EX,0,0,0,0,0,0,0,1,0,0,0,0.5227272727272727
Persoonia laxa,5/2/2019,EX,1,0,0,0,0,0,0,0,0,0,0,0.19318181818181818
Sanicula kauaiensis,29/06/2016,EX,0,0,0,0,0,0,0,1,0,0,0,0.5227272727272727
Schiedea amplexicaulis,13/07/2016,EX,0,0,0,0,0,0,0,1,0,0,0,0.5227272727272727
Tetramolopium consanguineum subsp. consanguineum,6/7/2016,EX,0,0,0,0,0,0,0,1,0,0,0,0.5227272727272727
Wikstroemia hanalei,6/7/2016,EX,0,0,0,0,0,0,0,1,0,0,0,0.5227272727272727
Acaena exigua,8/1/2016,EX,0,0,0,0,0,0,0,1,0,0,0,0.5227272727272727
Roystonea stellata,11/3/2020,EX,0,1,0,0,0,0,0,0,0,0,0,0.375
Angraecopsis dolabriformis,24/12/2015,EX,0,1,0,0,1,0,0,0,0,0,0,0.625
Angraecum astroarche,21/10/2016,EX,0,1,0,0,1,0,0,0,0,0,0,0.625
Beilschmiedia ningmingensis,25/05/2021,EX,0,1,0,0,0,0,0,0,0,0,0,0.375
Scleria chevalieri,21/12/2019,EX,0,0,0,0,0,0,1,0,0,0,0,0.19318181818181818
Bourreria veracruzana,10/6/2020,EX,0,1,0,0,0,0,0,0,0,0,0,0.375
Etlingera heyneana,11/6/2019,EX,1,1,0,0,0,0,0,0,0,0,0,0.5681818181818181
Hesperelaea palmeri,7/4/2020,EX,0,1,0,0,0,0,0,0,0,0,0,0.375
Faramea chiapensis,17/08/2020,EX,0,0,0,0,0,0,0,0,0,0,1,0.07954545454545454
Leucadendron grandiflorum,21/10/2019,EX,0,1,0,0,0,0,0,0,0,0,0,0.375
Leucadendron spirale,2/9/2019,EX,0,1,0,0,0,0,0,1,0,0,0,0.8977272727272727
Syzygium humblotii,13/03/2022,EX,0,1,0,0,0,0,0,1,0,0,0,0.8977272727272727
Eriocaulon inundatum,21/12/2019,EX,0,0,1,0,0,0,0,0,0,0,1,0.1477272727272727
Eriocaulon jordanii,21/12/2019,EX,1,0,0,0,0,0,1,0,0,0,0,0.38636363636363635
Streblorrhiza speciosa,5/6/2019,EX,0,0,0,0,0,0,0,1,0,0,0,0.5227272727272727
Euchorium cubense,18/03/2020,EX,0,1,0,0,1,0,0,0,0,0,0,0.625
Hopea shingkeng,24/05/2022,EX,0,0,0,0,1,0,0,0,0,0,0,0.25
Myoporum rimatarense,23/03/2020,EX,0,1,0,0,1,0,0,0,0,0,0,0.625
Banara wilsonii,17/03/2020,EX,0,0,0,0,1,1,0,0,0,0,0,0.26136363636363635
Guettarda retusa,13/03/2020,EX,0,1,0,0,0,0,0,0,0,0,0,0.375
Monteverdia lineata,12/3/2020,EX,0,1,0,0,0,0,0,0,0,0,0,0.375
Licaria mexicana,21/02/2020,EX,0,1,0,0,0,0,0,0,0,0,0,0.375
Angostura ossana,19/02/2020,EX,0,0,0,0,1,0,0,0,0,0,0,0.25
Pycnandra micrantha,10/5/2016,EX,0,0,1,0,0,0,1,0,0,0,0,0.26136363636363635
Melicope macropus,5/7/2016,EX,0,0,0,0,0,0,0,1,0,0,0,0.5227272727272727
Delissea undulata,19/01/2016,EX,0,1,0,0,0,0,1,1,0,0,0,1.0909090909090908
Fitchia mangarevensis,17/12/2015,EX,0,1,0,0,0,0,1,1,0,0,0,1.0909090909090908
Psychotria adamsonii,17/12/2015,EX,0,0,0,0,0,0,0,1,0,0,0,0.5227272727272727
Achyranthes mangarevica,17/12/2015,EX,0,0,0,0,0,0,1,1,0,0,0,0.7159090909090908
Peperomia degeneri,8/7/2022,EX,0,0,0,0,0,0,0,1,0,0,0,0.5227272727272727
Govenia floridana,11/5/2022,EX,1,0,0,0,1,0,0,0,0,0,1,0.5227272727272727
Ceodes rapaensis,17/12/2015,EX,0,0,0,0,0,0,1,1,0,0,0,0.7159090909090908
